timestamp,pos_x,pos_y,heading
0.810000,3.026837,0.695975,0.418010
0.820000,3.043220,0.726679,0.435175
0.830000,3.058825,0.742120,0.444827
0.840000,3.107367,0.784302,0.461405
0.850000,3.147624,0.785550,0.460128
0.860000,3.180561,0.792278,0.462622
0.870000,3.207423,0.839058,0.483871
0.880000,3.239864,0.852724,0.489181
0.890000,3.273154,0.897961,0.507894
0.900000,3.324322,0.875616,0.494574
0.910000,3.382674,0.886719,0.494619
0.920000,3.438811,0.873891,0.485181
0.930000,3.458924,0.947703,0.517052
0.940000,3.497310,0.928763,0.507929
0.950000,3.531401,0.978969,0.527258
0.960000,3.542058,1.034432,0.551813
0.970000,3.557815,1.108109,0.582011
0.980000,3.584863,1.162929,0.602509
0.990000,3.633387,1.166245,0.599816
1.000000,3.677066,1.165672,0.596578
1.010000,3.715256,1.152272,0.589675
1.020000,3.747759,1.166907,0.594053
1.030000,3.774656,1.215407,0.611334
1.040000,3.811730,1.248251,0.621140
1.050000,3.833890,1.282553,0.633596
1.060000,3.872345,1.324550,0.645901
1.070000,3.890934,1.365547,0.660723
1.080000,3.907824,1.390771,0.670266
1.090000,3.941150,1.426127,0.680426
1.100000,3.939951,1.501645,0.708891
1.110000,3.949771,1.575035,0.734339
1.120000,3.959815,1.598881,0.743526
1.130000,3.936032,1.688001,0.778383
1.140000,3.992350,1.663608,0.764777
1.150000,4.018925,1.683735,0.769854
1.160000,4.049612,1.719051,0.778798
1.170000,4.084414,1.751592,0.786112
1.180000,4.125079,1.786421,0.793037
1.190000,4.156312,1.847501,0.808952
1.200000,4.157536,1.920352,0.832763
1.210000,4.172193,1.955442,0.843319
1.220000,4.227723,1.926589,0.829309
1.230000,4.262701,1.965444,0.837590
1.240000,4.317414,1.960079,0.830536
1.250000,4.354135,1.979491,0.833251
1.260000,4.381888,2.005743,0.839242
1.270000,4.407074,2.013860,0.840869
1.280000,4.448329,2.040107,0.844572
1.290000,4.476596,2.049920,0.846200
1.300000,4.503177,2.084068,0.854260
1.310000,4.529472,2.115703,0.861638
1.320000,4.550474,2.146660,0.869633
1.330000,4.570264,2.166609,0.875072
1.340000,4.588327,2.208618,0.886040
1.350000,4.630605,2.270204,0.897487
1.360000,4.626537,2.314998,0.912440
1.370000,4.626674,2.378200,0.930740
1.380000,4.660061,2.388636,0.931269
1.390000,4.665587,2.429617,0.943313
1.400000,4.698508,2.456818,0.947626
1.410000,4.700224,2.508724,0.962475
1.420000,4.731735,2.546207,0.969073
1.430000,4.731013,2.595225,0.983385
1.440000,4.745991,2.622678,0.990364
1.450000,4.767534,2.635725,0.993201
1.460000,4.792061,2.653174,0.996475
1.470000,4.793266,2.726859,1.015041
1.480000,4.813907,2.778428,1.025665
1.490000,4.826940,2.784011,1.028302
1.500000,4.865469,2.801124,1.029008
1.510000,4.911240,2.822508,1.029372
1.520000,4.905051,2.848668,1.039295
1.530000,4.931956,2.862736,1.041378
1.540000,4.983394,2.864304,1.037098
1.550000,5.003630,2.900693,1.044497
1.560000,5.010872,2.948524,1.056049
1.570000,5.029849,2.974572,1.061622
1.580000,5.070642,2.999525,1.063358
1.590000,5.086640,3.040938,1.072077
1.600000,5.111819,3.068614,1.076817
1.610000,5.123101,3.095474,1.083688
1.620000,5.121372,3.134384,1.094688
1.630000,5.097851,3.178431,1.110027
1.640000,5.118823,3.213338,1.116375
1.650000,5.163878,3.239231,1.117243
1.660000,5.196452,3.231435,1.114808
1.670000,5.215603,3.277260,1.123142
1.680000,5.265843,3.299630,1.122625
1.690000,5.295259,3.325647,1.126124
1.700000,5.315928,3.366843,1.133353
1.710000,5.353236,3.399271,1.136472
1.720000,5.366531,3.422300,1.142115
1.730000,5.400334,3.470583,1.148072
1.740000,5.418166,3.514294,1.155908
1.750000,5.437213,3.560445,1.163816
1.760000,5.452819,3.589541,1.169806
1.770000,5.454214,3.628677,1.179465
