timestamp,pos_x,pos_y
30795,4477443.242392,589651.240245
30896,4477443.517745,589651.613635
30996,4477443.788600,589651.982330
31098,4477444.050455,589652.350284
31198,4477444.305960,589652.716448
31300,4477444.551791,589653.109192
31401,4477444.795472,589653.489153
31502,4477445.051717,589653.861500
31602,4477445.306084,589654.225303
31704,4477445.561395,589654.584599
31805,4477445.799230,589654.939948
31906,4477446.047949,589655.304920
32007,4477446.275632,589655.674725
32108,4477446.486430,589656.043630
32208,4477446.714703,589656.416311
32310,4477446.949360,589656.775091
32412,4477447.178114,589657.123084
32512,4477447.400779,589657.472422
32612,4477447.623541,589657.839232
32714,4477447.844612,589658.185282
32815,4477448.055178,589658.544010
32916,4477448.265354,589658.898078
33016,4477448.479329,589659.244891
33118,4477448.710755,589659.593446
33218,4477448.932312,589659.915231
33320,4477449.151425,589660.246036
33421,4477449.386954,589660.594202
33522,4477449.607172,589660.933900
33622,4477449.817645,589661.257090
33723,4477450.039506,589661.594987
33825,4477450.258710,589661.933425
33926,4477450.500193,589662.241061
34027,4477450.739993,589662.547275
34130,4477450.987898,589662.862806
34231,4477451.243040,589663.170788
34332,4477451.473963,589663.477277
34432,4477451.715626,589663.772188
34533,4477451.975953,589664.068147
34635,4477452.256885,589664.360382
34736,4477452.522551,589664.638635
34836,4477452.790297,589664.914403
34938,4477453.056513,589665.210801
35038,4477453.327768,589665.482964
35140,4477453.573346,589665.771042
35241,4477453.836657,589666.075108
35342,4477454.106141,589666.357047
35442,4477454.373826,589666.636972
35544,4477454.632751,589666.871453
35645,4477454.873478,589667.143813
35746,4477455.107194,589667.442465
35847,4477455.312767,589667.690223
35948,4477455.562138,589667.970537
36048,4477455.756599,589668.282298
36150,4477455.961082,589668.550256
36251,4477456.144321,589668.814906
36351,4477456.320209,589669.096100
36452,4477456.489605,589669.372875
36554,4477456.643448,589669.648734
36654,4477456.733038,589669.926805
36756,4477456.865366,589670.223109
36856,4477457.009008,589670.518598
36958,4477457.166822,589670.783044
37058,4477457.258737,589671.069908
37160,4477457.313169,589671.360104
37261,4477457.384474,589671.668759
37361,4477457.422732,589671.952618
37463,4477457.463122,589672.256893
37563,4477457.502133,589672.548037
37665,4477457.541272,589672.849783
37766,4477457.576140,589673.137923
37867,4477457.565065,589673.418386
37968,4477457.553951,589673.704787
38068,4477457.557560,589673.996949
38170,4477457.527725,589674.268222
38272,4477457.508503,589674.582116
38371,4477457.467185,589674.858700
38472,4477457.443435,589675.128289
38573,4477457.419226,589675.396525
38675,4477457.407658,589675.672838
38776,4477457.368595,589675.933788
38876,4477457.331394,589676.220332
38978,4477457.279345,589676.472192
39078,4477457.256830,589676.724377
39180,4477457.202459,589676.986274
39281,4477457.139854,589677.237413
39386,4477457.052659,589677.780627
39483,4477456.990227,589678.055428
39584,4477456.926367,589678.322188
39684,4477456.864349,589678.594525
39786,4477456.802638,589678.855407
39886,4477456.745761,589679.121236
39988,4477456.666056,589679.390646
40088,4477456.594675,589679.650456
40190,4477456.510958,589679.927802
40291,4477456.409850,589680.180589
40391,4477456.294513,589680.431851
40493,4477456.194880,589680.687249
40593,4477456.085431,589680.938779
40695,4477455.960471,589681.183709
40796,4477455.844909,589681.434634
40896,4477455.708931,589681.667990
40998,4477455.561680,589681.896308
41098,4477455.420031,589682.119639
41200,4477455.267139,589682.349636
41301,4477455.115494,589682.581908
41401,4477454.970279,589682.813340
41502,4477454.823001,589683.030122
41604,4477454.668899,589683.251906
41707,4477454.503694,589683.464238
41807,4477454.342470,589683.684496
41908,4477454.177371,589683.896487
42009,4477454.025971,589684.112047
42111,4477453.882697,589684.338706
42211,4477453.725197,589684.554847
42312,4477453.569915,589684.779953
42412,4477453.422266,589685.002847
42513,4477453.268903,589685.221399
42615,4477453.118072,589685.438140
42716,4477452.993452,589685.674329
42816,4477452.862481,589685.908644
42918,4477452.743747,589686.145018
43019,4477452.641683,589686.382803
43120,4477452.542487,589686.609782
43221,4477452.456404,589686.837877
43321,4477452.387837,589687.073141
43423,4477452.331698,589687.317162
43523,4477452.296844,589687.558723
43624,4477452.270697,589687.794921
43726,4477452.265840,589688.019752
43827,4477452.258317,589688.244446
43928,4477452.277959,589688.466270
44029,4477452.315721,589688.680837
44131,4477452.352334,589688.901440
44232,4477452.424247,589689.112460
44332,4477452.505900,589689.320988
44433,4477452.593245,589689.504256
44533,4477452.703630,589689.683177
44635,4477452.807487,589689.863957
44737,4477452.930863,589690.033732
44837,4477453.066485,589690.197167
44938,4477453.222130,589690.354596
45038,4477453.385475,589690.496834
45142,4477453.570396,589690.633046
45243,4477453.778446,589690.753798
45343,4477453.978035,589690.863286
45445,4477454.199193,589690.966154
45547,4477454.420796,589691.050610
45647,4477454.660904,589691.113555
45748,4477454.899671,589691.147932
45848,4477455.136657,589691.172661
45952,4477455.375302,589691.178370
46052,4477455.602018,589691.161320
46153,4477455.836556,589691.129927
46253,4477456.040617,589691.075234
46355,4477456.257029,589691.022768
46456,4477456.454734,589690.956446
46556,4477456.648928,589690.865738
46658,4477456.853108,589690.755996
46758,4477457.034881,589690.647879
46860,4477457.202208,589690.510756
46961,4477457.371010,589690.357755
47062,4477457.540575,589690.203557
47163,4477457.697558,589690.027796
47263,4477457.839284,589689.829486
47365,4477457.979455,589689.621780
47467,4477458.103825,589689.411124
47567,4477458.198901,589689.173761
47668,4477458.290397,589688.924906
47768,4477458.356096,589688.681958
47870,4477458.384393,589688.412061
47971,4477458.398392,589688.144117
48072,4477458.406235,589687.871920
48173,4477458.386453,589687.592081
48273,4477458.354191,589687.326895
48375,4477458.304218,589687.056833
48476,4477458.247690,589686.777010
48577,4477458.184789,589686.502691
48678,4477458.097434,589686.225867
48779,4477458.018153,589685.955816
48885,4477457.837200,589685.390791
48982,4477457.763758,589685.116938
49082,4477457.675908,589684.826633
49182,4477457.594421,589684.539221
49283,4477457.499841,589684.233898
49385,4477457.392743,589683.940007
49486,4477457.305268,589683.634684
49587,4477457.229113,589683.310396
49688,4477457.162405,589682.996342
49788,4477457.111353,589682.663950
49890,4477457.061451,589682.353342
49991,4477457.008383,589682.028693
50091,4477456.955761,589681.694962
50193,4477456.916129,589681.361330
50293,4477456.882182,589681.011006
50398,4477456.857626,589680.656921
50499,4477456.856299,589680.305019
50602,4477456.860591,589679.949571
50702,4477456.863179,589679.581590
50802,4477456.882164,589679.201539
50904,4477456.891684,589678.837631
51004,4477456.931704,589678.461993
51107,4477456.966038,589678.102877
51207,4477457.018837,589677.728189
51308,4477457.090602,589677.352000
51408,4477457.118388,589676.974473
51510,4477457.171810,589676.596214
51611,4477457.227985,589676.206811
51712,4477457.293972,589675.820853
51812,4477457.379607,589675.425584
51913,4477457.471501,589675.005896
52015,4477457.534637,589674.604450
52116,4477457.599894,589674.203912
52216,4477457.693057,589673.806856
52318,4477457.783320,589673.427139
52418,4477457.900684,589673.039209
52520,4477458.013972,589672.644711
52621,4477458.090419,589672.260833
52721,4477458.206694,589671.902518
52823,4477458.271162,589671.482481
52923,4477458.369577,589671.088161
53024,4477458.460892,589670.694351
53126,4477458.567439,589670.274573
53227,4477458.677615,589669.889019
53328,4477458.800924,589669.506192
53428,4477458.900184,589669.098970
53530,4477458.972859,589668.696816
53631,4477459.049816,589668.290624
53732,4477459.185796,589667.890512
53832,4477459.272070,589667.483530
53934,4477459.394655,589667.086631
54035,4477459.499435,589666.676883
54136,4477459.597681,589666.287062
54236,4477459.725769,589665.913847
54338,4477459.826875,589665.503295
54438,4477459.931715,589665.079975
54540,4477460.055589,589664.679414
54641,4477460.168358,589664.250740
54741,4477460.292613,589663.872736
54842,4477460.370286,589663.415050
54943,4477460.471584,589662.992621
55047,4477460.586876,589662.552128
55147,4477460.701771,589662.097050
55248,4477460.815668,589661.688465
55348,4477460.918426,589661.230310
55450,4477461.045228,589660.833191
55551,4477461.187168,589660.411548
55652,4477461.315218,589659.988883
55752,4477461.450034,589659.565629
55853,4477461.625549,589659.147995
55955,4477461.762535,589658.720558
56056,4477461.899955,589658.301599
56158,4477462.041890,589657.888777
56258,4477462.168855,589657.449670
56360,4477462.316575,589657.037882
56461,4477462.490369,589656.624849
56561,4477462.619688,589656.206071
56662,4477462.749188,589655.802474
56763,4477462.883151,589655.372953
56864,4477463.008889,589654.970419
56966,4477463.154987,589654.552967
57067,4477463.311606,589654.133354
57168,4477463.446628,589653.708740
57269,4477463.566187,589653.281513
57370,4477463.686042,589652.841983
57472,4477463.814587,589652.404893
57571,4477463.934889,589651.965612
57672,4477464.064340,589651.520793
57773,4477464.191399,589651.089405
57875,4477464.271246,589650.627792
57976,4477464.354018,589650.178697
58076,4477464.448206,589649.755844
58178,4477464.541322,589649.326813
58278,4477464.647776,589648.899233
58381,4477464.753588,589648.482858
58486,4477464.919318,589647.637170
58582,4477464.989021,589647.190606
58683,4477465.080162,589646.754304
58784,4477465.184513,589646.317928
58887,4477465.290888,589645.883649
58987,4477465.394182,589645.442451
59088,4477465.490923,589645.000908
59188,4477465.591195,589644.557626
59292,4477465.708549,589644.122367
59392,4477465.848838,589643.692602
59493,4477466.010751,589643.270042
59594,4477466.164715,589642.841894
59696,4477466.300936,589642.415400
59798,4477466.432871,589641.983360
59898,4477466.588385,589641.564099
60000,4477466.742202,589641.142230
60101,4477466.907266,589640.732525
60201,4477467.071882,589640.313155
60302,4477467.220811,589639.891005
60403,4477467.367072,589639.449972
60504,4477467.511544,589638.998612
60607,4477467.648763,589638.544201
60707,4477467.805977,589638.100068
60808,4477467.957216,589637.648288
60908,4477468.093950,589637.199736
61010,4477468.205567,589636.739609
61111,4477468.339189,589636.281424
61211,4477468.472644,589635.827906
61312,4477468.600081,589635.372424
61413,4477468.728426,589634.918544
61514,4477468.846109,589634.464366
61617,4477468.950468,589634.010009
61716,4477469.055226,589633.561246
61818,4477469.190581,589633.127214
61919,4477469.328974,589632.678132
62020,4477469.456995,589632.225019
62121,4477469.587861,589631.768479
62221,4477469.699857,589631.312164
62322,4477469.810735,589630.855269
62423,4477469.932227,589630.413176
62525,4477470.065768,589629.966782
62627,4477470.207810,589629.525715
62726,4477470.332175,589629.101060
62828,4477470.452558,589628.649820
62928,4477470.565102,589628.211481
63030,4477470.678222,589627.765586
63131,4477470.815524,589627.327375
63231,4477470.958132,589626.887149
63332,4477471.112995,589626.450594
63433,4477471.241367,589626.017494
63535,4477471.365244,589625.589198
63636,4477471.484367,589625.162485
63736,4477471.612629,589624.729556
63837,4477471.755374,589624.291535
63938,4477471.902851,589623.849979
64040,4477472.042919,589623.420216
64141,4477472.173552,589622.981237
64241,4477472.295288,589622.531762
64343,4477472.435593,589622.093854
64445,4477472.589986,589621.655099
64546,4477472.743017,589621.232392
64646,4477472.899210,589620.804897
64748,4477473.036064,589620.366267
64848,4477473.174054,589619.939074
64950,4477473.304546,589619.497552
65051,4477473.446757,589619.070564
65152,4477473.610892,589618.648063
65252,4477473.779227,589618.223985
65353,4477473.927734,589617.803537
65455,4477474.074308,589617.388625
65556,4477474.223364,589616.958417
65656,4477474.374754,589616.528435
65758,4477474.536772,589616.114526
65858,4477474.705039,589615.712502
65960,4477474.866938,589615.316492
66062,4477475.041688,589614.908962
66161,4477475.184513,589614.496131
66262,4477475.334721,589614.097207
66363,4477475.488285,589613.709779
66464,4477475.630545,589613.314682
66566,4477475.790297,589612.924805
66666,4477475.934633,589612.545460
66768,4477476.077631,589612.184197
66868,4477476.208959,589611.803227
66970,4477476.321998,589611.434011
67071,4477476.433258,589611.073807
67172,4477476.544752,589610.714703
67273,4477476.661436,589610.353162
67373,4477476.765488,589610.002968
67480,4477476.937121,589609.288428
67677,4477477.001347,589608.940661
67778,4477477.060412,589608.597622
67878,4477477.100456,589608.260832
67984,4477477.204740,589607.558803
68081,4477477.235743,589607.217880
68181,4477477.238473,589606.870765
68387,4477477.243073,589606.169589
68484,4477477.237726,589605.824776
68586,4477477.225758,589605.473934
68686,4477477.208000,589605.121721
68788,4477477.171935,589604.779734
68888,4477477.101819,589604.440276
68990,4477477.025803,589604.108861
69091,4477476.956971,589603.783977
69191,4477476.876653,589603.436243
69292,4477476.765262,589603.135956
69393,4477476.647210,589602.835665
69495,4477476.546920,589602.516670
69596,4477476.424964,589602.214898
69696,4477476.275815,589601.959932
69798,4477476.095551,589601.693210
69898,4477475.935922,589601.416062
69999,4477475.770782,589601.123628
70100,4477475.572757,589600.866364
70201,4477475.339484,589600.650828
70302,4477475.095417,589600.414641
70403,4477474.853851,589600.183343
70504,4477474.582458,589599.973692
70606,4477474.310751,589599.765571
70706,4477474.031935,589599.622169
70808,4477473.738555,589599.439838
70908,4477473.457012,589599.300454
71010,4477473.145148,589599.187812
71111,4477472.836646,589599.077844
71211,4477472.509974,589598.998714
71313,4477472.217711,589598.900511
71413,4477471.882184,589598.860758
71514,4477471.554966,589598.828793
71616,4477471.237238,589598.819956
71716,4477470.917559,589598.824290
71818,4477470.594112,589598.819847
71918,4477470.284774,589598.825583
72020,4477469.970141,589598.787700
72121,4477469.651899,589598.810083
72221,4477469.324549,589598.804245
72322,4477469.009716,589598.833203
72423,4477468.690632,589598.850082
72524,4477468.357195,589598.864419
72626,4477468.022080,589598.859098
72726,4477467.682997,589598.865444
72827,4477467.336665,589598.850503
72928,4477467.022863,589598.891323
73030,4477466.685145,589598.909698
73131,4477466.380451,589598.932428
73231,4477466.059451,589598.937710
73332,4477465.708900,589598.969131
73433,4477465.362837,589598.985909
73534,4477464.996054,589599.015403
73636,4477464.650750,589599.077042
73736,4477464.273412,589599.096569
73838,4477463.919558,589599.139565
73938,4477463.573375,589599.174157
74040,4477463.185319,589599.179308
74141,4477462.830733,589599.198224
74241,4477462.475410,589599.220541
74344,4477462.109753,589599.269870
74444,4477461.739248,589599.275914
74546,4477461.354455,589599.284674
74646,4477460.985623,589599.272801
74748,4477460.602247,589599.279338
74848,4477460.235191,589599.286019
74950,4477459.865187,589599.315382
75051,4477459.488382,589599.332952
75151,4477459.095757,589599.327386
75252,4477458.717112,589599.311898
75353,4477458.314722,589599.297458
75456,4477457.930419,589599.282208
75556,4477457.557072,589599.310508
75658,4477457.165227,589599.314433
75758,4477456.785049,589599.309990
75860,4477456.384276,589599.300789
75961,4477456.012459,589599.289885
76061,4477455.623131,589599.262989
76163,4477455.234219,589599.261535
76263,4477454.848541,589599.252068
76364,4477454.447579,589599.236339
76466,4477454.047011,589599.216363
76567,4477453.645457,589599.188257
76668,4477453.251613,589599.173629
76768,4477452.864932,589599.135930
76870,4477452.469059,589599.118697
76971,4477452.079499,589599.109532
77071,4477451.690801,589599.088821
77172,4477451.312226,589599.060609
77273,4477450.936130,589599.035421
77374,4477450.561810,589599.000967
77476,4477450.191843,589598.977656
77576,4477449.827557,589598.965305
77678,4477449.473617,589598.926874
77778,4477449.123785,589598.897725
77880,4477448.787543,589598.853909
77981,4477448.462110,589598.822687
78081,4477448.134474,589598.774357
78184,4477447.805468,589598.741481
78289,4477447.179709,589598.680517
78386,4477446.873430,589598.635664
78488,4477446.575197,589598.585964
78588,4477446.275596,589598.533228
78690,4477445.988786,589598.473213
78791,4477445.693887,589598.423813
78891,4477445.399297,589598.381704
78992,4477445.110465,589598.338254
79093,4477444.822229,589598.289029
79195,4477444.530721,589598.235347
79296,4477444.242418,589598.171279
79396,4477443.952144,589598.109355
79498,4477443.654936,589598.052519
79598,4477443.358804,589598.002116
79700,4477443.064792,589597.943375
79801,4477442.762109,589597.892880
79902,4477442.468820,589597.829551
80002,4477442.178912,589597.761176
80103,4477441.876435,589597.681501
80204,4477441.574662,589597.623532
80307,4477441.273700,589597.568436
80406,4477440.967242,589597.517902
80508,4477440.654414,589597.454636
80609,4477440.351243,589597.372595
80710,4477440.035276,589597.288162
80811,4477439.718170,589597.210612
80911,4477439.390647,589597.134630
81013,4477439.055206,589597.074264
81113,4477438.723860,589597.003501
81215,4477438.410046,589596.922689
81316,4477438.090150,589596.834656
81417,4477437.765523,589596.740911
81518,4477437.431286,589596.651183
81618,4477437.102093,589596.593372
81720,4477436.773479,589596.519014
81821,4477436.436547,589596.436019
81921,4477436.111874,589596.347703
82022,4477435.775943,589596.237044
82124,4477435.432871,589596.151239
82224,4477435.096009,589596.055520
82327,4477434.746275,589595.988200
82426,4477434.428980,589595.894792
82528,4477434.110870,589595.798339
82628,4477433.796461,589595.704896
82730,4477433.468187,589595.603222
82831,4477433.144766,589595.498945
