timestamp,pos_x,pos_y,accuracy
489391,4477252.041,589463.793,14.1
489492,4477251.948,589464.1337,14.1
489594,4477251.841,589464.4828,14.1
489695,4477251.753,589464.8382,14.1
489795,4477251.633,589465.1948,14.1
489896,4477251.533,589465.5464,14.1
489997,4477251.432,589465.8897,14.1
490098,4477251.313,589466.2472,14.1
490199,4477251.226,589466.5997,14.1
490300,4477251.124,589466.9512,14.1
490406,4477250.923,589467.677,14.1
490502,4477250.821,589468.028,14.1
490603,4477250.721,589468.3942,14.1
490810,4477250.531,589469.1679,14.1
490906,4477250.422,589469.572,14.1
491007,4477250.336,589469.9899,14.1
491108,4477250.241,589470.4016,14.1
491209,4477250.153,589470.8212,14.1
491311,4477250.071,589471.231,14.1
491411,4477249.99,589471.6298,14.1
491618,4477249.818,589472.4247,14.1
491715,4477249.73,589472.8155,14.1
491815,4477249.647,589473.2002,14.1
491916,4477249.56,589473.5739,14.1
492018,4477249.475,589473.9477,14.1
492118,4477249.387,589474.3112,14.1
492219,4477249.29,589474.676,14.1
492320,4477249.198,589475.0257,14.1
492421,4477249.094,589475.3787,14.1
492523,4477249.001,589475.7208,14.1
492623,4477248.908,589476.0592,14.1
492725,4477248.821,589476.3959,14.1
492825,4477248.711,589476.7233,14.1
492926,4477248.636,589477.0537,14.1
493028,4477248.556,589477.3725,14.1
493128,4477248.457,589477.6926,14.1
493229,4477248.375,589478.0016,14.1
493330,4477248.294,589478.3102,14.1
493431,4477248.21,589478.6186,14.1
493533,4477248.119,589478.9292,14.1
493633,4477248.035,589479.2599,14.1
493734,4477247.933,589479.6027,14.1
493836,4477247.86,589479.9598,14.1
493936,4477247.777,589480.3336,14.1
494037,4477247.666,589480.7102,14.1
494138,4477247.564,589481.1079,14.1
494239,4477247.458,589481.5304,14.1
494340,4477247.353,589481.977,14.1
494442,4477247.256,589482.4113,14.1
494543,4477247.149,589482.8405,14.1
494643,4477247.053,589483.2626,14.1
494745,4477246.948,589483.681,14.1
494845,4477246.838,589484.1002,14.1
494946,4477246.729,589484.504,14.1
495048,4477246.618,589484.9066,14.1
495148,4477246.508,589485.312,14.1
495250,4477246.398,589485.7038,14.1
495350,4477246.291,589486.0948,14.1
495451,4477246.199,589486.4804,14.1
495553,4477246.081,589486.8647,14.1
495654,4477245.963,589487.2421,14.1
495754,4477245.868,589487.612,14.1
495855,4477245.76,589487.9841,14.1
495957,4477245.642,589488.3506,14.1
496057,4477245.539,589488.7102,14.1
496158,4477245.445,589489.0665,14.1
496259,4477245.339,589489.4202,14.1
496360,4477245.241,589489.7706,14.1
496461,4477245.148,589490.1178,14.1
496562,4477245.055,589490.4612,14.1
496663,4477244.967,589490.8067,14.1
496764,4477244.885,589491.1426,14.1
496866,4477244.791,589491.472,14.1
496966,4477244.715,589491.7988,14.1
497067,4477244.638,589492.1259,14.1
497168,4477244.549,589492.4467,14.1
497269,4477244.476,589492.7717,14.1
497371,4477244.397,589493.0861,14.1
497472,4477244.323,589493.3945,14.1
497573,4477244.248,589493.7029,14.1
497673,4477244.171,589494.0079,14.1
497774,4477244.112,589494.3074,14.1
497875,4477244.03,589494.6154,14.1
497976,4477243.941,589494.9428,14.1
498078,4477243.876,589495.2693,14.1
498178,4477243.795,589495.6145,14.1
498279,4477243.725,589495.9677,14.1
498380,4477243.638,589496.3272,14.1
498481,4477243.541,589496.6892,14.1
498583,4477243.431,589497.0463,14.1
498683,4477243.353,589497.4118,14.1
498784,4477243.255,589497.7765,14.1
498885,4477243.178,589498.1385,14.1
498988,4477243.096,589498.4946,14.1
499089,4477243.008,589498.8507,14.1
499190,4477242.899,589499.2052,14.1
499291,4477242.804,589499.5603,14.1
499392,4477242.708,589499.9115,14.1
499494,4477242.621,589500.2693,14.1
499595,4477242.542,589500.6278,14.1
499695,4477242.436,589500.9934,14.1
499796,4477242.304,589501.3464,14.1
499897,4477242.207,589501.7047,14.1
499999,4477242.114,589502.0632,14.1
500099,4477242.025,589502.4262,14.1
500201,4477241.945,589502.7817,14.1
500306,4477241.717,589503.5107,14.1
500508,4477241.491,589504.2481,14.1
500706,4477241.388,589504.6245,14.1
500807,4477241.281,589505.0225,14.1
500908,4477241.185,589505.4367,14.1
501009,4477241.077,589505.8726,14.1
501114,4477240.841,589506.7377,14.1
501211,4477240.728,589507.1645,14.1
501312,4477240.613,589507.5891,14.1
501413,4477240.494,589508.0145,14.1
501514,4477240.398,589508.4313,14.1
501614,4477240.28,589508.8427,14.1
501716,4477240.179,589509.2538,14.1
501817,4477240.071,589509.6568,14.1
501918,4477239.964,589510.0495,14.1
502019,4477239.853,589510.4499,14.1
502225,4477239.629,589511.2234,14.1
502322,4477239.514,589511.6033,14.1
502423,4477239.405,589511.9813,14.1
502524,4477239.291,589512.36,14.1
502726,4477239.185,589512.7292,14.1
502827,4477238.971,589513.4634,14.1
502928,4477238.868,589513.8218,14.1
503029,4477238.758,589514.1775,14.1
503130,4477238.669,589514.5258,14.1
503231,4477238.546,589514.8669,14.1
503332,4477238.44,589515.2219,14.1
503433,4477238.336,589515.552,14.1
503534,4477238.231,589515.8952,14.1
503635,4477238.134,589516.2203,14.1
503735,4477238.025,589516.5502,14.1
503837,4477237.925,589516.8786,14.1
503937,4477237.834,589517.1962,14.1
504039,4477237.73,589517.5138,14.1
504140,4477237.636,589517.8288,14.1
504241,4477237.538,589518.1368,14.1
504342,4477237.446,589518.4487,14.1
504443,4477237.353,589518.7531,14.1
504544,4477237.27,589519.0575,14.1
504645,4477237.185,589519.3628,14.1
504746,4477237.097,589519.6608,14.1
504847,4477237.011,589519.9585,14.1
504948,4477236.914,589520.2568,14.1
505049,4477236.807,589520.5654,14.1
505150,4477236.73,589520.908,14.1
505251,4477236.643,589521.2714,14.1
505453,4477236.548,589521.6387,14.1
505554,4477236.336,589522.3977,14.1
505655,4477236.214,589522.793,14.1
505755,4477236.106,589523.1961,14.1
505857,4477236.011,589523.5915,14.1
505958,4477235.896,589524.0072,14.1
506059,4477235.748,589524.4445,14.1
506160,4477235.6,589524.8717,14.1
506261,4477235.487,589525.3092,14.1
506362,4477235.359,589525.743,14.1
506463,4477235.221,589526.1649,14.1
506564,4477235.104,589526.5998,14.1
506665,4477234.979,589527.0142,14.1
506766,4477234.851,589527.4453,14.1
506867,4477234.733,589527.8586,14.1
506968,4477234.616,589528.2725,14.1
507069,4477234.504,589528.6839,14.1
507170,4477234.386,589529.1016,14.1
507271,4477234.282,589529.508,14.1
507372,4477234.173,589529.9129,14.1
507473,4477234.067,589530.3204,14.1
507574,4477233.96,589530.7179,14.1
507675,4477233.862,589531.1154,14.1
507776,4477233.749,589531.5158,14.1
507877,4477233.658,589531.9097,14.1
507978,4477233.557,589532.2899,14.1
508079,4477233.438,589532.6753,14.1
508180,4477233.362,589533.0537,14.1
508281,4477233.27,589533.4399,14.1
508382,4477233.161,589533.8356,14.1
508483,4477233.038,589534.2889,14.1
508584,4477232.905,589534.7544,14.1
508685,4477232.749,589535.2398,14.1
508786,4477232.643,589535.7377,14.1
508887,4477232.533,589536.2383,14.1
508988,4477232.407,589536.7391,14.1
509089,4477232.301,589537.2329,14.1
509190,4477232.208,589537.7118,14.1
509291,4477232.092,589538.2022,14.1
509392,4477231.991,589538.6893,14.1
509493,4477231.895,589539.1727,14.1
509594,4477231.798,589539.6489,14.1
509695,4477231.701,589540.1233,14.1
509796,4477231.601,589540.601,14.1
509897,4477231.488,589541.0649,14.1
509997,4477231.39,589541.5315,14.1
510099,4477231.284,589541.9961,14.1
510200,4477231.178,589542.4554,14.1
510301,4477231.059,589542.9071,14.1
510402,4477230.952,589543.3606,14.1
510503,4477230.84,589543.8091,14.1
510604,4477230.73,589544.2638,14.1
510705,4477230.612,589544.6998,14.1
510907,4477230.39,589545.5722,14.1
511013,4477230.177,589546.4375,14.1
511211,4477230.059,589546.8627,14.1
511316,4477229.851,589547.7171,14.1
511514,4477229.755,589548.1396,14.1
511615,4477229.653,589548.5527,14.1
511716,4477229.56,589548.9732,14.1
511918,4477229.358,589549.7943,14.1
512019,4477229.281,589550.2136,14.1
512221,4477229.065,589551.0188,14.1
512322,4477228.98,589551.4133,14.1
512427,4477228.773,589552.1994,14.1
512524,4477228.67,589552.5848,14.1
512730,4477228.473,589553.3574,14.1
512932,4477228.26,589554.1086,14.1
513029,4477228.149,589554.4827,14.1
513231,4477228.055,589554.8476,14.1
513332,4477227.961,589555.2184,14.1
513437,4477227.765,589555.9559,14.1
513534,4477227.671,589556.313,14.1
513636,4477227.575,589556.6714,14.1
513739,4477227.47,589557.029,14.1
513840,4477227.398,589557.3951,14.1
513941,4477227.315,589557.7451,14.1
514042,4477227.219,589558.0863,14.1
514143,4477227.128,589558.4354,14.1
514244,4477227.068,589558.8023,14.1
514344,4477226.984,589559.192,14.1
514446,4477226.891,589559.6102,14.1
514547,4477226.792,589560.0546,14.1
514749,4477226.646,589560.5073,14.1
514850,4477226.388,589561.3791,14.1
514951,4477226.255,589561.8197,14.1
515052,4477226.12,589562.2392,14.1
515153,4477226.005,589562.6708,14.1
515254,4477225.867,589563.0994,14.1
515355,4477225.746,589563.5199,14.1
515456,4477225.626,589563.9426,14.1
515557,4477225.506,589564.3664,14.1
515658,4477225.383,589564.771,14.1
515859,4477225.274,589565.1918,14.1
515961,4477225.051,589566.0151,14.1
516062,4477224.941,589566.4206,14.1
516163,4477224.843,589566.8246,14.1
516264,4477224.739,589567.2224,14.1
516364,4477224.633,589567.6184,14.1
516466,4477224.54,589568.0204,14.1
516567,4477224.453,589568.4185,14.1
516668,4477224.356,589568.8088,14.1
516769,4477224.269,589569.1937,14.1
516870,4477224.18,589569.5832,14.1
516971,4477224.097,589569.9655,14.1
517072,4477224.024,589570.3412,14.1
517173,4477223.924,589570.7124,14.1
517274,4477223.841,589571.089,14.1
517375,4477223.773,589571.4614,14.1
517475,4477223.668,589571.8205,14.1
517577,4477223.58,589572.1896,14.1
517678,4477223.5,589572.5479,14.1
517779,4477223.411,589572.9103,14.1
517880,4477223.319,589573.2541,14.1
517981,4477223.248,589573.5964,14.1
518082,4477223.16,589573.9438,14.1
518183,4477223.071,589574.2771,14.1
518284,4477223.009,589574.6214,14.1
518385,4477222.913,589574.9613,14.1
518485,4477222.815,589575.297,14.1
518587,4477222.713,589575.6133,14.1
518688,4477222.645,589575.9386,14.1
518789,4477222.561,589576.2606,14.1
518889,4477222.473,589576.6114,14.1
518991,4477222.383,589576.9395,14.1
519092,4477222.283,589577.289,14.1
519193,4477222.155,589577.6329,14.1
519294,4477222.073,589578.0183,14.1
519394,4477221.989,589578.394,14.1
519495,4477221.871,589578.7507,14.1
519597,4477221.771,589579.1225,14.1
519698,4477221.689,589579.4813,14.1
519799,4477221.59,589579.8277,14.1
519899,4477221.485,589580.1857,14.1
520001,4477221.418,589580.5325,14.1
520102,4477221.328,589580.8673,14.1
520203,4477221.231,589581.2102,14.1
520308,4477221.048,589581.8827,14.1
520405,4477220.948,589582.219,14.1
520506,4477220.869,589582.5506,14.1
520708,4477220.77,589582.8714,14.1
520813,4477220.601,589583.5119,14.1
520910,4477220.525,589583.8256,14.1
521011,4477220.429,589584.1367,14.1
521112,4477220.352,589584.4757,14.1
521213,4477220.269,589584.816,14.1
521314,4477220.197,589585.1828,14.1
521516,4477220.116,589585.5563,14.1
521617,4477220.027,589585.9477,14.1
521722,4477219.848,589586.6897,14.1
521819,4477219.782,589587.0266,14.1
522029,4477219.599,589587.7384,14.1
522125,4477219.501,589588.1067,14.1
522226,4477219.43,589588.4387,14.1
522327,4477219.348,589588.7929,14.1
522428,4477219.241,589589.1356,14.1
522529,4477219.167,589589.4714,14.1
522735,4477218.99,589590.1501,14.1
522832,4477218.909,589590.4733,14.1
522933,4477218.816,589590.8018,14.1
523034,4477218.729,589591.1258,14.1
523135,4477218.645,589591.447,14.1
523236,4477218.56,589591.7717,14.1
523337,4477218.463,589592.0917,14.1
523438,4477218.38,589592.3868,14.1
523539,4477218.292,589592.6947,14.1
523640,4477218.216,589593.0181,14.1
523741,4477218.148,589593.3157,14.1
523842,4477218.04,589593.6259,14.1
523943,4477217.938,589593.9327,14.1
524044,4477217.877,589594.2404,14.1
524145,4477217.784,589594.5617,14.1
524246,4477217.702,589594.8991,14.1
524347,4477217.607,589595.2292,14.1
524448,4477217.522,589595.5715,14.1
524549,4477217.435,589595.8988,14.1
524650,4477217.349,589596.2426,14.1
524751,4477217.265,589596.559,14.1
524853,4477217.179,589596.8776,14.1
524953,4477217.094,589597.1976,14.1
525054,4477217.007,589597.5176,14.1
525155,4477216.924,589597.8242,14.1
525256,4477216.837,589598.1379,14.1
525357,4477216.754,589598.4513,14.1
525457,4477216.67,589598.763,14.1
525558,4477216.586,589599.0961,14.1
525659,4477216.498,589599.4419,14.1
525761,4477216.389,589599.7864,14.1
525862,4477216.271,589600.1567,14.1
525964,4477216.176,589600.4996,14.1
526065,4477216.066,589600.8774,14.1
526166,4477215.968,589601.2431,14.1
526267,4477215.87,589601.5952,14.1
526367,4477215.764,589601.9431,14.1
526469,4477215.677,589602.2989,14.1
526570,4477215.563,589602.6498,14.1
526671,4477215.465,589602.9922,14.1
526773,4477215.38,589603.3204,14.1
526872,4477215.277,589603.6646,14.1
526974,4477215.185,589603.999,14.1
527075,4477215.097,589604.3261,14.1
527175,4477215.002,589604.66,14.1
527277,4477214.909,589604.9823,14.1
527378,4477214.805,589605.3087,14.1
527478,4477214.719,589605.6321,14.1
527579,4477214.635,589605.9419,14.1
527681,4477214.537,589606.2668,14.1
527782,4477214.453,589606.5725,14.1
527883,4477214.374,589606.8796,14.1
527984,4477214.277,589607.1828,14.1
528084,4477214.196,589607.4822,14.1
528186,4477214.103,589607.7812,14.1
528287,4477214.023,589608.0784,14.1
528387,4477213.954,589608.3688,14.1
528489,4477213.88,589608.6601,14.1
528590,4477213.795,589608.9529,14.1
528691,4477213.712,589609.232,14.1
528792,4477213.646,589609.5056,14.1
528893,4477213.565,589609.7902,14.1
528994,4477213.486,589610.0707,14.1
529094,4477213.416,589610.3355,14.1
529196,4477213.345,589610.6265,14.1
529297,4477213.261,589610.9255,14.1
529398,4477213.146,589611.2261,14.1
529499,4477213.052,589611.5613,14.1
529599,4477212.965,589611.8815,14.1
529701,4477212.876,589612.2126,14.1
529802,4477212.795,589612.5243,14.1
529902,4477212.695,589612.8497,14.1
530004,4477212.602,589613.1609,14.1
530105,4477212.499,589613.4787,14.1
530206,4477212.432,589613.7898,14.1
530311,4477212.25,589614.4401,14.1
530513,4477212.063,589615.0555,14.1
530715,4477211.869,589615.6716,14.1
530812,4477211.779,589615.9804,14.1
530913,4477211.701,589616.2772,14.1
531014,4477211.611,589616.5696,14.1
531115,4477211.53,589616.8578,14.1
531216,4477211.459,589617.1547,14.1
531318,4477211.372,589617.4475,14.1
531417,4477211.304,589617.7361,14.1
531519,4477211.227,589618.0091,14.1
531620,4477211.141,589618.3027,14.1
531723,4477211.063,589618.5769,14.1
531822,4477210.997,589618.8472,14.1
531924,4477210.932,589619.1338,14.1
532025,4477210.855,589619.419,14.1
532227,4477210.798,589619.7115,14.1
532332,4477210.636,589620.3049,14.1
532429,4477210.555,589620.6036,14.1
532631,4477210.475,589620.9077,14.1
532732,4477210.393,589621.1967,14.1
532833,4477210.221,589621.7762,14.1
532934,4477210.119,589622.0845,14.1
533036,4477210.027,589622.3845,14.1
533137,4477209.931,589622.7034,14.1
533238,4477209.85,589623.013,14.1
533339,4477209.761,589623.3314,14.1
533439,4477209.674,589623.6592,14.1
