timestamp,pos_x,pos_y,acc
66297,4477385.820002,589576.448711,14.100000
66403,4477385.807772,589576.335791,14.100000
66504,4477385.761283,589576.236004,14.100000
66605,4477385.741675,589576.128092,14.100000
66710,4477385.727519,589576.011971,14.100000
66810,4477385.709323,589575.901498,14.100000
66911,4477385.699415,589575.787787,14.100000
67015,4477385.687131,589575.688948,14.100000
67119,4477385.693363,589575.578861,14.100000
67221,4477385.687435,589575.472990,14.100000
67322,4477385.685272,589575.357151,14.100000
67423,4477385.684155,589575.254446,14.100000
67527,4477385.689113,589575.139879,14.100000
67628,4477385.687210,589575.027175,14.100000
67732,4477385.694349,589574.918603,14.100000
67833,4477385.676611,589574.809312,14.100000
67939,4477385.654051,589574.593882,14.100000
68143,4477385.605959,589574.369258,14.100000
68240,4477385.579154,589574.253713,14.100000
68342,4477385.547833,589574.150437,14.100000
68443,4477385.520725,589574.055931,14.100000
68544,4477385.486169,589573.951421,14.100000
68647,4477385.439152,589573.844515,14.100000
68748,4477385.391861,589573.742617,14.100000
68849,4477385.354982,589573.638729,14.100000
68952,4477385.298376,589573.547036,14.100000
69056,4477385.255588,589573.441012,14.100000
69159,4477385.192341,589573.360256,14.100000
69263,4477385.134583,589573.265014,14.100000
69367,4477385.068636,589573.181237,14.100000
69468,4477385.010287,589573.101609,14.100000
69569,4477384.946370,589573.011191,14.100000
69670,4477384.867520,589572.934608,14.100000
69774,4477384.802860,589572.856413,14.100000
69875,4477384.739406,589572.776846,14.100000
69976,4477384.666113,589572.719366,14.100000
70077,4477384.603662,589572.668033,14.100000
70179,4477384.541424,589572.588028,14.100000
70280,4477384.471964,589572.526176,14.100000
70381,4477384.404633,589572.475240,14.100000
70487,4477384.319530,589572.423499,14.100000
70588,4477384.239764,589572.363128,14.100000
70689,4477384.158019,589572.304476,14.100000
70793,4477384.089143,589572.244992,14.100000
70893,4477384.001825,589572.202948,14.100000
71011,4477383.929283,589572.152583,14.100000
71113,4477383.849008,589572.105450,14.100000
71214,4477383.775998,589572.043725,14.100000
71315,4477383.715564,589571.984649,14.100000
71420,4477383.642691,589571.943704,14.100000
71521,4477383.579230,589571.882205,14.100000
71623,4477383.510717,589571.825261,14.100000
71730,4477383.445135,589571.762684,14.100000
71835,4477383.376420,589571.698109,14.100000
71941,4477383.217451,589571.587453,14.100000
72143,4477383.067370,589571.458708,14.100000
72347,4477382.911910,589571.307211,14.100000
72446,4477382.817563,589571.243706,14.100000
72546,4477382.746407,589571.151424,14.100000
72647,4477382.657065,589571.079461,14.100000
72748,4477382.573723,589571.007851,14.100000
72850,4477382.487657,589570.940600,14.100000
72952,4477382.407931,589570.865045,14.100000
73053,4477382.327297,589570.778559,14.100000
73153,4477382.253586,589570.695383,14.100000
73255,4477382.174235,589570.623386,14.100000
73356,4477382.088163,589570.546295,14.100000
73461,4477381.984656,589570.487395,14.100000
73561,4477381.894059,589570.412563,14.100000
73663,4477381.803881,589570.326361,14.100000
73763,4477381.684807,589570.293263,14.100000
73866,4477381.584723,589570.232795,14.100000
73971,4477381.480474,589570.176788,14.100000
74073,4477381.385181,589570.108459,14.100000
74175,4477381.277614,589570.062839,14.100000
74275,4477381.169656,589570.030881,14.100000
74376,4477381.074565,589569.979429,14.100000
74480,4477380.963996,589569.942667,14.100000
74583,4477380.860854,589569.914298,14.100000
74683,4477380.752567,589569.882682,14.100000
74786,4477380.652628,589569.852918,14.100000
74887,4477380.543209,589569.838025,14.100000
74989,4477380.448575,589569.815577,14.100000
75092,4477380.342156,589569.791658,14.100000
75193,4477380.226809,589569.791680,14.100000
75297,4477380.115162,589569.794711,14.100000
75397,4477380.003559,589569.792229,14.100000
75506,4477379.896857,589569.791045,14.100000
75606,4477379.794185,589569.792612,14.100000
75707,4477379.684763,589569.796126,14.100000
75809,4477379.579684,589569.800691,14.100000
75910,4477379.467813,589569.812886,14.100000
76010,4477379.360132,589569.813325,14.100000
76112,4477379.252159,589569.845152,14.100000
76213,4477379.141810,589569.882521,14.100000
76315,4477379.040163,589569.904857,14.100000
76416,4477378.945419,589569.938137,14.100000
76518,4477378.841021,589569.971787,14.100000
76623,4477378.752646,589570.008553,14.100000
76723,4477378.660298,589570.037903,14.100000
76830,4477378.557440,589570.079678,14.100000
76933,4477378.470378,589570.133393,14.100000
77036,4477378.377938,589570.173685,14.100000
77136,4477378.285784,589570.219318,14.100000
77237,4477378.198273,589570.272530,14.100000
77348,4477378.030973,589570.384289,14.100000
77468,4477377.951755,589570.444017,14.100000
77569,4477377.876205,589570.494880,14.100000
